K,Sample_Name,State,state_abbr,index,population_label,Longitude,Latitude,cluster,ancestry
2,Quercus_144,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.171023,33.658186,cluster_2,0.907907
2,Quercus_145,Arkansas,AR,02,02-Hempstead (AR),-93.86183,33.73705,cluster_1,0.423036
2,Quercus_145,Arkansas,AR,02,02-Hempstead (AR),-93.86183,33.73705,cluster_2,0.576964
2,Quercus_147,Louisiana,LA,05,05-Union (AR/LA),-92.36477,32.8914,cluster_1,0.99999
2,Quercus_147,Louisiana,LA,05,05-Union (AR/LA),-92.36477,32.8914,cluster_2,1e-5
2,Quercus_150,Mississippi,MS,06,06-Covington (MS),-89.5579229,31.64054,cluster_1,0.99999
2,Quercus_150,Mississippi,MS,06,06-Covington (MS),-89.5579229,31.64054,cluster_2,1e-5
2,Quercus_152,Louisiana,LA,05,05-Union (AR/LA),-92.3632,32.89236,cluster_1,0.99999
2,Quercus_152,Louisiana,LA,05,05-Union (AR/LA),-92.3632,32.89236,cluster_2,1e-5
2,Quercus_157,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-92.997044,33.711624,cluster_1,0.064915
2,Quercus_157,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-92.997044,33.711624,cluster_2,0.935085
2,Quercus_158,Louisiana,LA,05,05-Union (AR/LA),-92.36458,32.89093,cluster_1,1e-5
2,Quercus_158,Louisiana,LA,05,05-Union (AR/LA),-92.36458,32.89093,cluster_2,0.99999
2,Quercus_159,Louisiana,LA,05,05-Union (AR/LA),-92.36326,32.89226,cluster_1,1e-5
2,Quercus_159,Louisiana,LA,05,05-Union (AR/LA),-92.36326,32.89226,cluster_2,0.99999
2,Quercus_163,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_1,0.049701
2,Quercus_163,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_2,0.950299
2,Quercus_165,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.171023,33.658186,cluster_1,0.085121
2,Quercus_165,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.171023,33.658186,cluster_2,0.914879
2,Quercus_169,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.084421,33.708172,cluster_1,0.084353
2,Quercus_169,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.084421,33.708172,cluster_2,0.915647
2,Quercus_170,Louisiana,LA,05,05-Union (AR/LA),-92.36298,32.8922,cluster_1,1e-5
2,Quercus_170,Louisiana,LA,05,05-Union (AR/LA),-92.36298,32.8922,cluster_2,0.99999
2,Quercus_173,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_1,0.015509
2,Quercus_173,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_2,0.984491
2,Quercus_180,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_1,0.99999
2,Quercus_180,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_2,1e-5
2,Quercus_181,Arkansas,AR,02,02-Hempstead (AR),-93.648929999999993,33.769507,cluster_1,0.857975
2,Quercus_181,Arkansas,AR,02,02-Hempstead (AR),-93.648929999999993,33.769507,cluster_2,0.142025
2,Quercus_185,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.11569,33.68607,cluster_1,0.080001
2,Quercus_185,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.11569,33.68607,cluster_2,0.919999
2,Quercus_186,Arkansas,AR,02,02-Hempstead (AR),-93.648306,33.769511,cluster_1,0.99999
