FID,Sample_Name,PID,MID,Sex,Phenotype,admixture_row,State,state_abbr,index,index_new_county_state,Latitude,Longitude,County,Species,Accession,Planting_Number
0,Quercus_253,0,0,0,-9,114,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.69,-93.12,Nevada,Quercus arkansana,NA,NA
0,Quercus_254,0,0,0,-9,115,Arkansas,AR,02,02-Hempstead (AR),33.74,-93.86,Hempstead,Quercus arkansana,NA,NA
0,Quercus_255,0,0,0,-9,116,Arkansas,AR,02,02-Hempstead (AR),33.74,-93.86,Hempstead,Quercus arkansana,NA,NA
0,Quercus_256,0,0,0,-9,117,Mississippi,MS,06,06-Covington (MS),31.64,-89.56,Covington,Quercus arkansana,NA,NA
0,Quercus_257,0,0,0,-9,118,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_258,0,0,0,-9,119,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_259,0,0,0,-9,120,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.69,-93.12,Poinsett,Quercus arkansana,NA,NA
0,Quercus_260,0,0,0,-9,121,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.68,-93.17,Nevada,Quercus arkansana,NA,NA
0,Quercus_261,0,0,0,-9,122,Louisiana,LA,01,01-Caddo (LA),32.98,-94.02,Caddo,Quercus arkansana,NA,NA
0,Quercus_262,0,0,0,-9,123,Louisiana,LA,05,05-Union (AR/LA),32.89,-92.37,Union,Quercus arkansana,NA,NA
0,Quercus_263,0,0,0,-9,124,Arkansas,AR,02,02-Hempstead (AR),33.74,-93.86,Hempstead,Quercus arkansana,NA,NA
0,Quercus_264,0,0,0,-9,125,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_265,0,0,0,-9,126,Louisiana,LA,01,01-Caddo (LA),32.99,-94.02,Caddo,Quercus arkansana,NA,NA
0,Quercus_266,0,0,0,-9,127,Louisiana,LA,01,01-Caddo (LA),32.99,-94.02,Caddo,Quercus arkansana,NA,NA
0,Quercus_267,0,0,0,-9,128,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.71,-93,Poinsett,Quercus arkansana,NA,NA
0,Quercus_268,0,0,0,-9,129,Arkansas,AR,05,05-Union (AR/LA),33.07,-92.36,Union,Quercus arkansana,NA,NA
0,Quercus_269,0,0,0,-9,130,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.71,-93,Ouachita,Quercus arkansana,NA,NA
0,Quercus_270,0,0,0,-9,131,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.66,-93.17,Nevada,Quercus arkansana,NA,NA
0,Quercus_271,0,0,0,-9,132,Arkansas,AR,02,02-Hempstead (AR),33.69,-93.85,Hempstead,Quercus arkansana,NA,NA
0,Quercus_272,0,0,0,-9,133,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_273,0,0,0,-9,134,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_274,0,0,0,-9,135,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_275,0,0,0,-9,136,Louisiana,LA,05,05-Union (AR/LA),32.89,-92.36,Union,Quercus arkansana,NA,NA
0,Quercus_276,0,0,0,-9,137,Louisiana,LA,01,01-Caddo (LA),32.99,-94.02,Caddo,Quercus arkansana,NA,NA
0,Quercus_277,0,0,0,-9,138,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.71,-93,Ouachita,Quercus arkansana,NA,NA
0,Quercus_278,0,0,0,-9,139,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.71,-93.08,Ouachita,Quercus arkansana,NA,NA
0,Quercus_279,0,0,0,-9,140,Louisiana,LA,01,01-Caddo (LA),32.99,-94.02,Caddo,Quercus arkansana,NA,NA
0,Quercus_280,0,0,0,-9,141,Louisiana,LA,05,05-Union (AR/LA),32.89,-92.36,Union,Quercus arkansana,NA,NA
0,Quercus_281,0,0,0,-9,142,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_282,0,0,0,-9,143,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.71,-93.08,Poinsett,Quercus arkansana,NA,NA
0,Quercus_283,0,0,0,-9,144,Louisiana,LA,01,01-Caddo (LA),32.97,-94.02,Caddo,Quercus arkansana,NA,NA
0,Quercus_284,0,0,0,-9,145,Louisiana,LA,01,01-Caddo (LA),32.99,-94.02,Caddo,Quercus arkansana,NA,NA
0,Quercus_285,0,0,0,-9,146,Louisiana,LA,05,05-Union (AR/LA),32.88,-92.51,Union,Quercus arkansana,NA,NA
0,Quercus_286,0,0,0,-9,147,Arkansas,AR,02,02-Hempstead (AR),33.74472,-93.6472,Hempstead,Quercus pagoda,NA,NA
0,Quercus_287,0,0,0,-9,148,Florida,FL,09,09-Okaloosa (FL),30.54,-86.4,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_288,0,0,0,-9,149,Georgia,GA,11,11-Early (GA),31.19,-85.09,Early,Quercus arkansana,NA,NA
0,Quercus_289,0,0,0,-9,150,Alabama,AL,08,08-Tuscaloosa (AL),33.05,-87.5,Tuscaloosa,Quercus arkansana,NA,NA
0,Quercus_290,0,0,0,-9,151,Georgia,GA,12,12-Chattahoochee (GA),32.33,-84.68,Chattahoochee,Quercus arkansana,NA,NA
0,Quercus_291,0,0,0,-9,152,Florida,FL,09,09-Okaloosa (FL),30.59,-86.47,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_292,0,0,0,-9,153,Florida,FL,09,09-Okaloosa (FL),30.55,-86.49,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_293,0,0,0,-9,154,Florida,FL,09,09-Okaloosa (FL),30.54,-86.4,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_294,0,0,0,-9,155,Florida,FL,09,09-Okaloosa (FL),30.54,-86.4,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_295,0,0,0,-9,156,Georgia,GA,12,12-Chattahoochee (GA),32.33,-84.68,Chattahoochee,Quercus arkansana,NA,NA
0,Quercus_296,0,0,0,-9,157,Alabama,AL,10,10-Pike (AL),31.79,-85.89,Pike,Quercus arkansana,NA,NA
0,Quercus_297,0,0,0,-9,158,Alabama,AL,10,10-Pike (AL),31.79,-85.89,Pike,Quercus arkansana,NA,NA
0,Quercus_298,0,0,0,-9,159,Alabama,AL,10,10-Pike (AL),31.79,-85.89,Pike,Quercus arkansana,NA,NA
0,Quercus_299,0,0,0,-9,160,Georgia,GA,12,12-Chattahoochee (GA),32.32,-84.66,Chattahoochee,Quercus arkansana,NA,NA
0,Quercus_300,0,0,0,-9,161,Florida,FL,09,09-Okaloosa (FL),30.55,-86.49,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_301,0,0,0,-9,162,Alabama,AL,10,10-Pike (AL),31.79,-85.89,Pike,Quercus arkansana,NA,NA
