"sample","called_genotypes","missing_genotypes","missing_rate","heterozygote_genotypes","heterozygote_rate","mean_dp","median_dp","mean_gq"
"Quercus_250",441,1,0.00226244343891403,62,0.14027149321267,775.29185520362,734,98.7760180995475
"Quercus_251",423,19,0.0429864253393665,68,0.153846153846154,474.941176470588,463.5,94.0588235294118
"Quercus_252",399,43,0.0972850678733032,89,0.201357466063348,159.914027149321,153.5,87.6289592760181
"Quercus_253",441,1,0.00226244343891403,68,0.153846153846154,353.558823529412,337,98.7352941176471
"Quercus_254",407,35,0.0791855203619909,71,0.160633484162896,269.334841628959,248,89.8619909502262
"Quercus_255",440,2,0.00452488687782805,63,0.142533936651584,490.443438914027,478,98.4909502262443
"Quercus_256",433,9,0.0203619909502262,71,0.160633484162896,675.4592760181,618.5,96.5972850678733
"Quercus_257",441,1,0.00226244343891403,68,0.153846153846154,540.581447963801,512,98.7669683257919
"Quercus_258",440,2,0.00452488687782805,67,0.15158371040724,497.972850678733,468,98.631221719457
"Quercus_259",433,9,0.0203619909502262,68,0.153846153846154,304.438914027149,293,96.4185520361991
"Quercus_260",405,37,0.083710407239819,70,0.158371040723982,379.280542986425,373,89.5475113122172
"Quercus_261",429,13,0.0294117647058824,66,0.149321266968326,341.929864253394,340,95.3823529411765
"Quercus_262",439,3,0.00678733031674208,66,0.149321266968326,517.558823529412,508,98.0203619909502
"Quercus_263",440,2,0.00452488687782805,68,0.153846153846154,499.954751131222,455,98.4683257918552
"Quercus_264",435,7,0.0158371040723982,66,0.149321266968326,481.746606334842,464,97.472850678733
"Quercus_265",442,0,0,69,0.156108597285068,580.789592760181,544,98.893665158371
"Quercus_266",442,0,0,66,0.149321266968326,532.997737556561,492,99
"Quercus_267",439,3,0.00678733031674208,66,0.149321266968326,392.762443438914,388.5,98.3122171945701
"Quercus_268",380,62,0.14027149321267,80,0.180995475113122,219.764705882353,213.5,84.2850678733032
"Quercus_269",428,14,0.0316742081447964,44,0.0995475113122172,869.9592760181,774.5,95.8574660633484
"Quercus_270",440,2,0.00452488687782805,62,0.14027149321267,530.255656108597,480,98.527149321267
"Quercus_271",400,42,0.0950226244343891,87,0.19683257918552,311.89592760181,285,88.8574660633484
"Quercus_272",440,2,0.00452488687782805,68,0.153846153846154,448.925339366516,416,98.4773755656109
"Quercus_273",430,12,0.0271493212669683,69,0.156108597285068,291.223981900452,283,95.4140271493213
"Quercus_274",441,1,0.00226244343891403,67,0.15158371040724,463.893665158371,452,98.7760180995475
"Quercus_275",427,15,0.0339366515837104,69,0.156108597285068,347.574660633484,333,94.9366515837104
"Quercus_276",440,2,0.00452488687782805,64,0.144796380090498,772.264705882353,754,98.60407239819
"Quercus_277",409,33,0.0746606334841629,82,0.18552036199095,156.12443438914,155,89.0904977375566
"Quercus_278",433,9,0.0203619909502262,45,0.101809954751131,649.914027149321,644,96.8914027149321
"Quercus_279",433,9,0.0203619909502262,58,0.131221719457014,752.328054298643,693,96.9841628959276
"Quercus_280",411,31,0.0701357466063348,66,0.149321266968326,335.760180995475,328,91.841628959276
"Quercus_281",402,40,0.0904977375565611,76,0.171945701357466,157.092760180995,152,88.5452488687783
"Quercus_282",375,67,0.15158371040724,69,0.156108597285068,157.4592760181,153,82.5701357466063
"Quercus_283",391,51,0.115384615384615,111,0.251131221719457,104.407239819005,100,86.0950226244344
"Quercus_284",428,14,0.0316742081447964,65,0.147058823529412,342.409502262443,336,95.552036199095
"Quercus_285",420,22,0.0497737556561086,66,0.149321266968326,189.773755656109,187,92.9864253393665
"Quercus_286",437,5,0.0113122171945701,50,0.113122171945701,611.683257918552,595,97.9434389140272
"Quercus_287",441,1,0.00226244343891403,73,0.165158371040724,641.893665158371,607,98.7760180995475
"Quercus_288",420,22,0.0497737556561086,42,0.0950226244343891,754.558823529412,679,94.0723981900452
"Quercus_289",441,1,0.00226244343891403,63,0.142533936651584,667.662895927602,637,98.6809954751131
"Quercus_290",442,0,0,67,0.15158371040724,467.819004524887,434,99
"Quercus_291",437,5,0.0113122171945701,77,0.17420814479638,255.705882352941,243,97.6990950226244
"Quercus_292",417,25,0.0565610859728507,60,0.135746606334842,268.873303167421,260,93.0407239819005
"Quercus_293",427,15,0.0339366515837104,77,0.17420814479638,226.837104072398,219,95.2714932126697
"Quercus_294",442,0,0,74,0.167420814479638,510.255656108597,481,99
"Quercus_295",433,9,0.0203619909502262,66,0.149321266968326,432.947963800905,408,97.0248868778281
